               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085368,            0.037069,            0.027145,             0.86235,              0.1195,            0.097274,            0.034921,            0.064115,             0.02307,            0.016631,            0.070233,           0.0033075,           0.0033075
                   1,            0.066175,            0.025595,            0.018178,             0.79442,             0.31194,             0.26825,             0.11523,            0.053073,            0.017459,            0.013804,            0.040101,           0.0065093,           0.0065093
                   2,            0.060816,            0.022457,            0.014641,             0.78302,             0.41532,             0.32345,             0.15358,            0.046028,            0.014623,              0.0102,           0.0098376,           0.0095792,           0.0095792
                   3,            0.051738,            0.020567,             0.01122,             0.91717,             0.40891,             0.45751,             0.20411,            0.040245,            0.013785,           0.0083443,            0.009406,            0.009406,            0.009406
                   4,             0.04531,            0.018447,           0.0083729,             0.88186,              0.6291,             0.80151,             0.41837,            0.035161,            0.011806,            0.005998,            0.009406,            0.009406,            0.009406
                   5,            0.040747,            0.018004,           0.0066915,             0.90337,             0.82609,             0.89623,             0.50094,            0.035513,            0.011056,           0.0039952,            0.009208,            0.009208,            0.009208
                   6,            0.038516,            0.016883,           0.0047355,             0.96415,             0.86006,             0.92446,             0.55621,            0.027898,            0.010286,           0.0030596,             0.00901,             0.00901,             0.00901
                   7,            0.036505,            0.016044,           0.0041372,             0.88043,             0.74843,             0.78046,             0.51663,            0.029609,            0.012641,           0.0031339,            0.008812,            0.008812,            0.008812
                   8,            0.035603,            0.015917,           0.0039128,             0.88564,             0.94224,             0.95232,             0.59449,            0.027961,            0.010786,           0.0023104,            0.008614,            0.008614,            0.008614
                   9,            0.034466,            0.015733,           0.0033175,             0.95893,             0.92023,              0.9341,             0.56214,            0.032137,            0.010717,           0.0019441,            0.008416,            0.008416,            0.008416
                  10,            0.033273,            0.015333,           0.0029391,             0.92151,             0.92635,             0.93949,             0.61436,            0.026499,           0.0099617,           0.0019817,            0.008218,            0.008218,            0.008218
                  11,            0.032471,            0.015237,           0.0028053,             0.95067,             0.93646,             0.95832,             0.60037,            0.028021,           0.0097997,           0.0019095,             0.00802,             0.00802,             0.00802
                  12,            0.030808,            0.014801,           0.0027908,             0.92493,             0.86649,             0.92234,              0.6099,            0.024845,           0.0099548,           0.0017283,            0.007822,            0.007822,            0.007822
                  13,            0.031122,            0.014527,           0.0026349,             0.92358,             0.94817,              0.9507,             0.62285,            0.024503,           0.0094661,           0.0018582,            0.007624,            0.007624,            0.007624
                  14,            0.030163,            0.014357,           0.0024285,             0.95533,             0.91807,             0.95238,             0.64139,            0.025722,            0.010172,           0.0017905,            0.007426,            0.007426,            0.007426
                  15,            0.029203,            0.014004,           0.0022196,             0.90492,             0.84871,             0.87066,             0.61258,            0.024461,            0.010606,           0.0019313,            0.007228,            0.007228,            0.007228
                  16,            0.028555,            0.014385,           0.0021112,             0.93322,             0.95251,             0.95002,             0.68474,            0.022414,           0.0093394,           0.0017026,             0.00703,             0.00703,             0.00703
                  17,            0.028445,            0.014189,           0.0022885,             0.94231,             0.93873,             0.95637,             0.66994,            0.024327,           0.0097281,           0.0016378,            0.006832,            0.006832,            0.006832
